variableId,parent_variable_id,category,subcategory,variableName,unit,unit_accession,value_type,observation_level,scaleName,scaleClass,system_id,acquisition_modality,acquisition_filter,acquisition_light_profile,acquisition_geometry,signal_interpretation,roi_canonical,implementation_roi_alias,acquisition_unit,filter_notes,axis_definition,export_shape,traitName,traitAccNumber,traitEntity,traitEntityAccessionNumber,traitCharacteristic,traitCharacteristicAccessionNumber,methodName,methodDesc,methodRef,record_status,introduced_in_version,deprecated_in_version,replaced_by_variable_id
roi.other_tip.pixel_count.px,roi.other_tip,image_segmentation,rootcam_roi_mask,Pixel count in other tip ROI,px,,int,plant_round,count,Numerical,HADES:ROOTCAM:ROI:OTHER_TIP:PIXELS,rootcam_roi_mask,,"Cool-White transmitted backlight (5,700 K)",transmission,,other_tip,other_tip,,,,scalar,other tip segmented area (pixel count),,root tip(s),PO:0000025,area (pixel count),PATO:0001323,RootCam ROI mask pixel-count extraction,Binary ROI masks originate from the backlit RootCam segmentation and are reused by FC_analysis.py. Primary-root and lateral-root masks are transferred directly from segmentation outputs. Root-tip and node ROIs are implementation-defined mask regions used by the fluorescence pipeline. The peri-root ROI is the exclusive region obtained by dilating the full root mask and subtracting the original root mask; root_plus_peri is the corresponding inclusive dilated mask. Pixel count is therefore a channel-independent property of the ROI mask and is not expanded across fluorescence filters or excitation protocols.,https://github.com/valerian-meline/HADES_FC; https://doi.org/10.64898/2026.03.27.714898; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
roi.peri_root.pixel_count.px,roi.peri_root,image_segmentation,rootcam_roi_mask,Pixel count in peri root ROI,px,,int,plant_round,count,Numerical,HADES:ROOTCAM:ROI:PERI_ROOT:PIXELS,rootcam_roi_mask,,"Cool-White transmitted backlight (5,700 K)",transmission,,peri_root,dilated_root_exclusive,,,,scalar,peri root segmented area (pixel count),,peri-root region,,area (pixel count),PATO:0001323,RootCam ROI mask pixel-count extraction,Binary ROI masks originate from the backlit RootCam segmentation and are reused by FC_analysis.py. Primary-root and lateral-root masks are transferred directly from segmentation outputs. Root-tip and node ROIs are implementation-defined mask regions used by the fluorescence pipeline. The peri-root ROI is the exclusive region obtained by dilating the full root mask and subtracting the original root mask; root_plus_peri is the corresponding inclusive dilated mask. Pixel count is therefore a channel-independent property of the ROI mask and is not expanded across fluorescence filters or excitation protocols.,https://github.com/valerian-meline/HADES_FC; https://doi.org/10.64898/2026.03.27.714898; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
roi.root_plus_peri.pixel_count.px,roi.root_plus_peri,image_segmentation,rootcam_roi_mask,Pixel count in root plus peri ROI,px,,int,plant_round,count,Numerical,HADES:ROOTCAM:ROI:ROOT_PLUS_PERI:PIXELS,rootcam_roi_mask,,"Cool-White transmitted backlight (5,700 K)",transmission,,root_plus_peri,dilated_root,,,,scalar,root plus peri segmented area (pixel count),,root and peri-root region,,area (pixel count),PATO:0001323,RootCam ROI mask pixel-count extraction,Binary ROI masks originate from the backlit RootCam segmentation and are reused by FC_analysis.py. Primary-root and lateral-root masks are transferred directly from segmentation outputs. Root-tip and node ROIs are implementation-defined mask regions used by the fluorescence pipeline. The peri-root ROI is the exclusive region obtained by dilating the full root mask and subtracting the original root mask; root_plus_peri is the corresponding inclusive dilated mask. Pixel count is therefore a channel-independent property of the ROI mask and is not expanded across fluorescence filters or excitation protocols.,https://github.com/valerian-meline/HADES_FC; https://doi.org/10.64898/2026.03.27.714898; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F448.lateral_root.mean,fluor.F448.lateral_root,fluorescence,fluorcam_single_channel_roi,Fluorescence mean in lateral root(s) (filter F448),a.u.,,float,plant_round,,,HADES:FLUOR:F448:LATERAL_ROOT:MEAN,fluorcam_single_channel,F448,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,lateral_root,,FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,lateral root fluorescence signal,,lateral root(s),PO:0020121,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F448.lateral_root.sum,fluor.F448.lateral_root,fluorescence,fluorcam_single_channel_roi,Fluorescence sum in lateral root(s) (filter F448),a.u.,,float,plant_round,,,HADES:FLUOR:F448:LATERAL_ROOT:SUM,fluorcam_single_channel,F448,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,lateral_root,,FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,lateral root fluorescence signal,,lateral root(s),PO:0020121,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F469.lateral_root.mean,fluor.F469.lateral_root,fluorescence,fluorcam_single_channel_roi,Fluorescence mean in lateral root(s) (filter F469),a.u.,,float,plant_round,,,HADES:FLUOR:F469:LATERAL_ROOT:MEAN,fluorcam_single_channel,F469,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,lateral_root,,FC1,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,lateral root fluorescence signal,,lateral root(s),PO:0020121,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F469.lateral_root.sum,fluor.F469.lateral_root,fluorescence,fluorcam_single_channel_roi,Fluorescence sum in lateral root(s) (filter F469),a.u.,,float,plant_round,,,HADES:FLUOR:F469:LATERAL_ROOT:SUM,fluorcam_single_channel,F469,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,lateral_root,,FC1,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,lateral root fluorescence signal,,lateral root(s),PO:0020121,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F483.lateral_root.mean,fluor.F483.lateral_root,fluorescence,fluorcam_single_channel_roi,Fluorescence mean in lateral root(s) (filter F483),a.u.,,float,plant_round,,,HADES:FLUOR:F483:LATERAL_ROOT:MEAN,fluorcam_single_channel,F483,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,lateral_root,,FC1,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,lateral root fluorescence signal,,lateral root(s),PO:0020121,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F483.lateral_root.sum,fluor.F483.lateral_root,fluorescence,fluorcam_single_channel_roi,Fluorescence sum in lateral root(s) (filter F483),a.u.,,float,plant_round,,,HADES:FLUOR:F483:LATERAL_ROOT:SUM,fluorcam_single_channel,F483,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,lateral_root,,FC1,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,lateral root fluorescence signal,,lateral root(s),PO:0020121,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F513.lateral_root.mean,fluor.F513.lateral_root,fluorescence,fluorcam_single_channel_roi,Fluorescence mean in lateral root(s) (filter F513),a.u.,,float,plant_round,,,HADES:FLUOR:F513:LATERAL_ROOT:MEAN,fluorcam_single_channel,F513,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,lateral_root,,FC1|FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,lateral root fluorescence signal,,lateral root(s),PO:0020121,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F513.lateral_root.sum,fluor.F513.lateral_root,fluorescence,fluorcam_single_channel_roi,Fluorescence sum in lateral root(s) (filter F513),a.u.,,float,plant_round,,,HADES:FLUOR:F513:LATERAL_ROOT:SUM,fluorcam_single_channel,F513,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,lateral_root,,FC1|FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,lateral root fluorescence signal,,lateral root(s),PO:0020121,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F520.lateral_root.mean,fluor.F520.lateral_root,fluorescence,fluorcam_single_channel_roi,Fluorescence mean in lateral root(s) (filter F520),a.u.,,float,plant_round,,,HADES:FLUOR:F520:LATERAL_ROOT:MEAN,fluorcam_single_channel,F520,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,lateral_root,,FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,lateral root fluorescence signal,,lateral root(s),PO:0020121,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F520.lateral_root.sum,fluor.F520.lateral_root,fluorescence,fluorcam_single_channel_roi,Fluorescence sum in lateral root(s) (filter F520),a.u.,,float,plant_round,,,HADES:FLUOR:F520:LATERAL_ROOT:SUM,fluorcam_single_channel,F520,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,lateral_root,,FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,lateral root fluorescence signal,,lateral root(s),PO:0020121,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F565.lateral_root.mean,fluor.F565.lateral_root,fluorescence,fluorcam_single_channel_roi,Fluorescence mean in lateral root(s) (filter F565),a.u.,,float,plant_round,,,HADES:FLUOR:F565:LATERAL_ROOT:MEAN,fluorcam_single_channel,F565,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,lateral_root,,FC1,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,lateral root fluorescence signal,,lateral root(s),PO:0020121,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
